item_id,item_name,category,supplier,base_price
101,Смартфон Xiaomi Redmi,Электроника,ООО "ТехноСнаб",14999.00
102,Ноутбук ASUS VivoBook,Электроника,ООО "Компьютерный Мир",49999.00
103,Футболка хлопковая,Одежда,ООО "ТекстильПро",999.00
104,Беспроводные наушники Sony,Электроника,ООО "ТехноСнаб",7990.00
105,Книга "Python для анализа данных",Книги,ИД "Питер",2500.00
106,Кроссовки беговые Nike,Обувь,АО "СпортИмпорт",8990.00
107,Кофеварка De'Longhi,Бытовая техника,ООО "Домашний Уют",12990.00
108,Смарт-часы Apple Watch,Электроника,ООО "ТехноСнаб",35990.00
109,Джинсы Levi's,Одежда,ООО "ТекстильПро",5990.00
110,Игровая приставка PlayStation,Электроника,ООО "Компьютерный Мир",49990.00
111,Набор кухонных ножей,Товары для дома,ООО "Домашний Уют",2990.00
112,Сумка рюкзак Herschel,Аксессуары,ООО "Стиль и Комфорт",4990.00
113,Скейтборд,Спорттовары,АО "СпортИмпорт",3990.00
114,Соковыжималка Philips,Бытовая техника,ООО "Домашний Уют",8990.00
115,Кроссовки Adidas,Обувь,АО "СпортИмпорт",11990.00
116,Толстовка утепленная,Одежда,ООО "ТекстильПро",2990.00
117,Блендер Bosch,Бытовая техника,ООО "Домашний Уют",4990.00
118,Настольная игра Монополия,Игры,ИД "Мир Хобби",1990.00
119,Шапка зимняя,Одежда,ООО "ТекстильПро",1490.00
120,Фитнес-браслет Xiaomi,Электроника,ООО "ТехноСнаб",2990.00